ReviewText,StarRating,User,AppVersion,Headline
The wish list is beautiful.,4,User58,2.0.5,Needs work
The wish list is clunky.,2,User65,2.1.1,Best Support Ever
The search function is decent.,1,User109,2.1.1,Awesome
The dark mode is so much faster.,4,User69,2.1.1,Could be better
The new checkout process is a bit slow.,1,User131,2.1.0,Terrible
Customer support hurts my eyes.,1,User129,2.0.0,Needs work
Customer support is beautiful.,4,User145,2.1.1,Literally Unusable
Shipping speed crashes.,1,User22,2.0.0,Literally Unusable
The payment gateway is amazing.,4,User53,2.0.0,Love it
The UI is smooth.,4,User37,2.0.0,Needs work
The dark mode is terrible.,2,User66,2.0.5,Literally Unusable
The cart is terrible.,1,User40,2.0.0,Terrible
Customer support is a bit slow.,2,User22,2.0.0,Great Update
The search function hurts my eyes.,1,User142,2.0.5,Ugly UI
The dark mode is smooth.,4,User15,2.0.0,Awesome
Shipping speed is clunky.,2,User106,2.0.5,Decent app
The cart is so much faster.,4,User8,2.0.0,Awesome
The dark mode is smooth.,5,User54,2.0.5,Literally Unusable
The new checkout process is amazing.,5,User114,2.0.0,Best Support Ever
The cart is a bit slow.,2,User119,2.0.0,Great Update
The wish list is amazing.,4,User139,2.0.5,Best Support Ever
The cart is beautiful.,5,User10,2.0.0,Could be better
Product variety is terrible.,2,User115,2.1.1,Ugly UI
The UI is so much faster.,5,User30,2.1.1,Decent app
Shipping speed is terrible.,2,User12,2.0.0,Needs work
The UI is clunky.,1,User58,2.0.5,Awesome
The wish list is terrible.,1,User103,2.0.5,Ugly UI
Shipping speed is amazing.,4,User116,2.1.1,Awesome
The payment gateway is clunky.,1,User145,2.0.5,Love it
The UI is clunky.,1,User76,2.0.5,Awesome
The payment gateway is so much faster.,4,User136,2.0.5,Love it
The dark mode is terrible.,2,User145,2.1.0,Needs work
The cart is amazing.,5,User108,2.0.0,Decent app
Customer support is amazing.,5,User80,2.0.0,Ugly UI
Shipping speed is amazing.,5,User84,2.1.1,Great Update
The cart is terrible.,2,User144,2.1.1,Awesome
Shipping speed crashes.,1,User104,2.0.0,Awesome
The new checkout process is smooth.,4,User118,2.0.0,Terrible
The search function is beautiful.,4,User60,2.1.0,Best Support Ever
The UI is a bit slow.,2,User131,2.0.0,Great Update
The dark mode is clunky.,1,User44,2.1.0,Great Update
Customer support hurts my eyes.,5,User64,2.0.0,Ugly UI
Shipping speed is amazing.,5,User47,2.0.0,Great Update
The dark mode crashes.,1,User148,2.1.0,Could be better
The wish list is clunky.,2,User103,2.0.5,Literally Unusable
The search function crashes.,2,User2,2.0.0,Best Support Ever
The UI is a bit slow.,1,User94,2.1.1,Ugly UI
Product variety hurts my eyes.,3,User62,2.0.5,Best Support Ever
Shipping speed is clunky.,1,User89,2.0.0,Ugly UI
The payment gateway crashes.,2,User54,2.0.0,Literally Unusable
Shipping speed is clunky.,2,User44,2.1.0,Literally Unusable
Shipping speed is terrible.,2,User37,2.1.1,Decent app
Product variety is so much faster.,5,User38,2.1.0,Awesome
The search function crashes.,2,User3,2.1.0,Could be better
Customer support is terrible.,1,User128,2.1.0,Decent app
The cart is so much faster.,4,User100,2.1.1,Great Update
The cart is beautiful.,5,User3,2.1.0,Terrible
The cart is beautiful.,4,User73,2.1.1,Could be better
The UI hurts my eyes.,4,User9,2.1.1,Ugly UI
Product variety is amazing.,5,User6,2.1.1,Awesome
The cart is beautiful.,5,User146,2.1.0,Needs work
The cart is so much faster.,5,User110,2.0.0,Ugly UI
The new checkout process is decent.,4,User113,2.1.1,Needs work
Product variety is clunky.,1,User56,2.0.5,Needs work
Product variety is a bit slow.,1,User88,2.0.0,Best Support Ever
The payment gateway is so much faster.,5,User59,2.1.0,Love it
Product variety is decent.,1,User108,2.1.0,Literally Unusable
