content,score,appVersion,userName
Fix the analytics! It acts buggy right now.,1,1.0.0,Verified User
Highly recommend. The onboarding is outstanding.,4,1.0.0,Verified User
Brilliant app! The UI looks incredibly well.,5,1.0.0,Verified User
Awesome app! The customer support operates really well.,5,1.0.0,Verified User
I absolutely love the update process. Incredible!,4,1.0.0,Verified User
Highly recommend. The checkout process is superb.,5,1.0.0,Verified User
Fine app. The design is fine.,3,1.0.0,Verified User
Okay app. The update process is fine.,3,1.0.0,Verified User
It's fair. The dashboard operates okay.,3,1.0.0,Verified User
Average experience. Notifications could be better.,3,1.0.0,Verified User
Bad experience. Portfolio tracker crashes all the time.,2,1.0.0,Verified User
I absolutely love the syncing. Brilliant!,4,1.0.0,Verified User
I absolutely love the checkout process. Incredible!,5,1.0.0,Verified User
Solid experience overall. Dark mode is great.,4,1.0.0,Verified User
Amazing app! The notifications seems somewhat well.,4,1.0.0,Verified User
Highly recommend. The search function is incredible.,4,1.0.0,Verified User
I hate the design. It is incredibly terrible.,1,1.0.0,Verified User
Three stars. Ui needs work but is decent.,3,1.0.0,Verified User
Five stars for the dashboard. It performs perfectly.,5,1.0.0,Verified User
Fix the search function! It feels annoying right now.,1,1.0.0,Verified User
One star because the analytics is clunky.,1,1.0.0,Verified User
Amazing experience overall. Ui is great.,4,1.0.0,Verified User
Great experience overall. Settings is great.,5,1.0.0,Verified User
Solid app! The onboarding operates surprisingly well.,5,1.0.0,Verified User
I absolutely love the checkout process. Excellent!,5,1.0.0,Verified User
Typical app. The payment gateway is fine.,3,1.0.0,Verified User
I hate the design. It is incredibly trash.,2,1.0.0,Verified User
Highly recommend. The dashboard is perfect.,5,1.0.0,Verified User
Superb app! The search function looks quite well.,4,1.0.0,Verified User
Solid app! The UI operates very well.,5,1.0.0,Verified User
Incredible app! The UI feels somewhat well.,4,1.0.0,Verified User
Five stars for the update process. It runs perfectly.,5,1.0.0,Verified User
Amazing app! The update process seems incredibly well.,4,1.0.0,Verified User
Clunky app. The loading speed performs totally poorly.,1,1.0.0,Verified User
I hate the settings. It is absolutely horrible.,2,1.0.0,Verified User
Fix the dashboard! It performs annoying right now.,2,1.0.0,Verified User
Disappointing app. The navigation operates very poorly.,1,1.0.0,Verified User
Incredible app! The portfolio tracker seems surprisingly well.,4,1.0.0,Verified User
Fair app. The notifications is fine.,3,1.0.0,Verified User
Solid experience overall. Syncing is great.,5,1.0.0,Verified User
Fantastic experience overall. Customer support is great.,5,1.0.0,Verified User
Awesome app! The filters operates quite well.,5,1.0.0,Verified User
One star because the analytics is frustrating.,1,1.0.0,Verified User
Five stars for the filters. It operates perfectly.,5,1.0.0,Verified User
Highly recommend. The loading speed is great.,5,1.0.0,Verified User
It's decent. The navigation looks okay.,3,1.0.0,Verified User
Incredible app! The navigation works absolutely well.,4,1.0.0,Verified User
Slow experience. Portfolio tracker crashes all the time.,1,1.0.0,Verified User
Fix the portfolio tracker! It performs slow right now.,2,1.0.0,Verified User
Fix the portfolio tracker! It feels buggy right now.,1,1.0.0,Verified User
Awesome app! The filters looks surprisingly well.,5,1.0.0,Verified User
Terrible experience. Loading speed crashes all the time.,1,1.0.0,Verified User
Highly recommend. The profile page is nice.,5,1.0.0,Verified User
Fix the dark mode! It feels annoying right now.,1,1.0.0,Verified User
Incredible experience overall. Syncing is great.,4,1.0.0,Verified User
Annoying experience. Notifications crashes all the time.,1,1.0.0,Verified User
Mediocre app. The payment gateway is fine.,3,1.0.0,Verified User
Five stars for the portfolio tracker. It feels perfectly.,4,1.0.0,Verified User
Fix the update process! It works disappointing right now.,2,1.0.0,Verified User
Five stars for the design. It works perfectly.,5,1.0.0,Verified User
I absolutely love the UI. Awesome!,4,1.0.0,Verified User
Highly recommend. The notifications is incredible.,4,1.0.0,Verified User
Annoying experience. Update process crashes all the time.,1,1.0.0,Verified User
Superb app! The analytics runs very well.,5,1.0.0,Verified User
Highly recommend. The onboarding is perfect.,4,1.0.0,Verified User
Highly recommend. The customer support is incredible.,5,1.0.0,Verified User
Amazing experience overall. Analytics is great.,5,1.0.0,Verified User
Solid experience overall. Notifications is great.,5,1.0.0,Verified User
Great experience overall. Syncing is great.,4,1.0.0,Verified User
I absolutely love the login screen. Great!,5,1.0.0,Verified User
Three stars. Dark mode needs work but is decent.,3,1.0.0,Verified User
Five stars for the login screen. It works perfectly.,4,1.0.0,Verified User
Highly recommend. The syncing is perfect.,4,1.0.0,Verified User
Poor app. The customer support seems totally poorly.,1,1.0.0,Verified User
Clunky app. The update process runs incredibly poorly.,2,1.0.0,Verified User
I absolutely love the settings. Good!,5,1.0.0,Verified User
Awful app. The navigation works incredibly poorly.,1,1.0.0,Verified User
It's fair. The login screen operates okay.,3,1.0.0,Verified User
One star because the portfolio tracker is slow.,1,1.0.0,Verified User
Fix the login screen! It acts horrible right now.,1,1.0.0,Verified User
Good experience overall. Filters is great.,4,1.0.0,Verified User
Frustrating experience. Profile page crashes all the time.,2,1.0.0,Verified User
Annoying experience. Loading speed crashes all the time.,2,1.0.0,Verified User
Perfect experience overall. Ui is great.,5,1.0.0,Verified User
Terrible experience. Portfolio tracker crashes all the time.,1,1.0.0,Verified User
One star because the portfolio tracker is terrible.,1,1.0.0,Verified User
Five stars for the onboarding. It seems perfectly.,5,1.0.0,Verified User
One star because the search function is annoying.,1,1.0.0,Verified User
"Not bad, not great. Update process is fair.",3,1.0.0,Verified User
Five stars for the payment gateway. It looks perfectly.,5,1.0.0,Verified User
Slow app. The syncing runs totally poorly.,1,1.0.0,Verified User
I absolutely love the profile page. Perfect!,4,1.0.0,Verified User
Highly recommend. The notifications is outstanding.,4,1.0.0,Verified User
Excellent app! The syncing operates really well.,5,1.0.0,Verified User
Outstanding experience overall. Customer support is great.,4,1.0.0,Verified User
Okay app. The filters is fine.,3,1.0.0,Verified User
It's standard. The customer support feels okay.,3,1.0.0,Verified User
Highly recommend. The design is superb.,5,1.0.0,Verified User
Outstanding app! The settings seems quite well.,4,1.0.0,Verified User
One star because the profile page is disappointing.,1,1.0.0,Verified User
Highly recommend. The syncing is brilliant.,5,1.0.0,Verified User
Nice experience overall. Dashboard is great.,4,1.0.0,Verified User
Brilliant app! The dark mode looks totally well.,5,1.0.0,Verified User
One star because the dark mode is terrible.,1,1.0.0,Verified User
Good experience overall. Filters is great.,5,1.0.0,Verified User
Highly recommend. The design is superb.,4,1.0.0,Verified User
I absolutely love the checkout process. Brilliant!,5,1.0.0,Verified User
Three stars. Dark mode needs work but is passable.,3,1.0.0,Verified User
Highly recommend. The update process is awesome.,5,1.0.0,Verified User
Highly recommend. The UI is fantastic.,5,1.0.0,Verified User
Highly recommend. The notifications is great.,4,1.0.0,Verified User
Fix the dark mode! It looks horrible right now.,2,1.0.0,Verified User
Trash experience. Login screen crashes all the time.,2,1.0.0,Verified User
Highly recommend. The filters is nice.,5,1.0.0,Verified User
Perfect experience overall. Update process is great.,5,1.0.0,Verified User
Outstanding app! The design works somewhat well.,5,1.0.0,Verified User
Fix the UI! It looks awful right now.,2,1.0.0,Verified User
Three stars. Onboarding needs work but is fair.,3,1.0.0,Verified User
I hate the syncing. It is absolutely awful.,2,1.0.0,Verified User
It's decent. The profile page looks okay.,3,1.0.0,Verified User
I absolutely love the loading speed. Fantastic!,4,1.0.0,Verified User
It's fine. The search function performs okay.,3,1.0.0,Verified User
Highly recommend. The update process is incredible.,4,1.0.0,Verified User
Buggy experience. Ui crashes all the time.,1,1.0.0,Verified User
Highly recommend. The profile page is solid.,5,1.0.0,Verified User
I absolutely love the loading speed. Superb!,4,1.0.0,Verified User
Excellent experience overall. Syncing is great.,5,1.0.0,Verified User
Fix the syncing! It looks trash right now.,1,1.0.0,Verified User
I absolutely love the portfolio tracker. Awesome!,5,1.0.0,Verified User
Highly recommend. The checkout process is great.,4,1.0.0,Verified User
I absolutely love the checkout process. Superb!,4,1.0.0,Verified User
One star because the update process is buggy.,1,1.0.0,Verified User
Buggy experience. Search function crashes all the time.,1,1.0.0,Verified User
It's fine. The settings looks okay.,3,1.0.0,Verified User
Slow app. The syncing seems extremely poorly.,2,1.0.0,Verified User
I absolutely love the settings. Nice!,4,1.0.0,Verified User
Outstanding app! The customer support feels very well.,4,1.0.0,Verified User
Awesome experience overall. Payment gateway is great.,5,1.0.0,Verified User
I absolutely love the notifications. Outstanding!,4,1.0.0,Verified User
Outstanding experience overall. Login screen is great.,5,1.0.0,Verified User
"Not bad, not great. Search function is decent.",3,1.0.0,Verified User
Poor app. The payment gateway works somewhat poorly.,1,1.0.0,Verified User
Five stars for the filters. It seems perfectly.,5,1.0.0,Verified User
Five stars for the syncing. It acts perfectly.,5,1.0.0,Verified User
Decent app. The dashboard is fine.,3,1.0.0,Verified User
Five stars for the customer support. It works perfectly.,4,1.0.0,Verified User
Incredible experience overall. Syncing is great.,5,1.0.0,Verified User
Highly recommend. The analytics is solid.,4,1.0.0,Verified User
Trash app. The syncing feels somewhat poorly.,1,1.0.0,Verified User
I absolutely love the search function. Amazing!,4,1.0.0,Verified User
I absolutely love the portfolio tracker. Great!,5,1.0.0,Verified User
Highly recommend. The dashboard is great.,5,1.0.0,Verified User
Five stars for the customer support. It performs perfectly.,4,1.0.0,Verified User
Outstanding app! The design operates honestly well.,5,1.0.0,Verified User
Okay app. The analytics is fine.,3,1.0.0,Verified User
Disappointing experience. Portfolio tracker crashes all the time.,1,1.0.0,Verified User
Three stars. Ui needs work but is fair.,3,1.0.0,Verified User
Highly recommend. The dark mode is amazing.,5,1.0.0,Verified User
Highly recommend. The dark mode is incredible.,5,1.0.0,Verified User
Superb experience overall. Syncing is great.,4,1.0.0,Verified User
I hate the payment gateway. It is totally useless.,2,1.0.0,Verified User
Highly recommend. The customer support is amazing.,4,1.0.0,Verified User
Slow experience. Login screen crashes all the time.,1,1.0.0,Verified User
"Not bad, not great. Dashboard is fair.",3,1.0.0,Verified User
Perfect app! The payment gateway runs totally well.,5,1.0.0,Verified User
It's average. The search function seems okay.,3,1.0.0,Verified User
Good experience overall. Login screen is great.,4,1.0.0,Verified User
Nice app! The login screen feels honestly well.,5,1.0.0,Verified User
Five stars for the design. It runs perfectly.,5,1.0.0,Verified User
Five stars for the dashboard. It works perfectly.,4,1.0.0,Verified User
Highly recommend. The onboarding is incredible.,4,1.0.0,Verified User
Fix the loading speed! It looks slow right now.,1,1.0.0,Verified User
Three stars. Login screen needs work but is okay.,3,1.0.0,Verified User
Fantastic app! The payment gateway acts honestly well.,4,1.0.0,Verified User
It's mediocre. The customer support works okay.,3,1.0.0,Verified User
Highly recommend. The search function is incredible.,5,1.0.0,Verified User
I absolutely love the navigation. Superb!,5,1.0.0,Verified User
Three stars. Update process needs work but is average.,3,1.0.0,Verified User
I hate the onboarding. It is quite bad.,2,1.0.0,Verified User
I hate the payment gateway. It is quite trash.,2,1.0.0,Verified User
Fantastic experience overall. Login screen is great.,5,1.0.0,Verified User
Highly recommend. The UI is amazing.,4,1.0.0,Verified User
I absolutely love the design. Great!,4,1.0.0,Verified User
Highly recommend. The filters is superb.,4,1.0.0,Verified User
Brilliant experience overall. Payment gateway is great.,5,1.0.0,Verified User
I absolutely love the customer support. Brilliant!,5,1.0.0,Verified User
Outstanding app! The onboarding seems surprisingly well.,5,1.0.0,Verified User
Bad app. The settings works somewhat poorly.,2,1.0.0,Verified User
Passable app. The design is fine.,3,1.0.0,Verified User
Solid app! The notifications runs honestly well.,5,1.0.0,Verified User
Terrible experience. Design crashes all the time.,1,1.0.0,Verified User
Five stars for the loading speed. It performs perfectly.,4,1.0.0,Verified User
Five stars for the filters. It performs perfectly.,4,1.0.0,Verified User
I absolutely love the login screen. Outstanding!,4,1.0.0,Verified User
Clunky experience. Dashboard crashes all the time.,2,1.0.0,Verified User
I absolutely love the design. Brilliant!,5,1.0.0,Verified User
Superb app! The portfolio tracker works somewhat well.,4,1.0.0,Verified User
I absolutely love the design. Incredible!,5,1.0.0,Verified User
It's typical. The portfolio tracker performs okay.,3,1.0.0,Verified User
One star because the syncing is terrible.,2,1.0.0,Verified User
Good app! The profile page acts surprisingly well.,5,1.0.0,Verified User
Horrible app. The profile page performs honestly poorly.,1,1.0.0,Verified User
Fix the analytics! It operates clunky right now.,1,1.0.0,Verified User
Highly recommend. The update process is excellent.,5,1.0.0,Verified User
Highly recommend. The customer support is outstanding.,4,1.0.0,Verified User
It's fair. The customer support runs okay.,3,1.0.0,Verified User
Five stars for the settings. It acts perfectly.,4,1.0.0,Verified User
Good app! The profile page looks really well.,4,1.0.0,Verified User
Fine app. The filters is fine.,3,1.0.0,Verified User
I hate the profile page. It is extremely frustrating.,1,1.0.0,Verified User
Useless app. The UI runs totally poorly.,2,1.0.0,Verified User
Superb app! The analytics feels honestly well.,5,1.0.0,Verified User
I absolutely love the profile page. Great!,5,1.0.0,Verified User
Perfect experience overall. Settings is great.,5,1.0.0,Verified User
Solid experience overall. Settings is great.,4,1.0.0,Verified User
Highly recommend. The profile page is good.,4,1.0.0,Verified User
Horrible experience. Customer support crashes all the time.,1,1.0.0,Verified User
"Not bad, not great. Loading speed is average.",3,1.0.0,Verified User
Okay app. The onboarding is fine.,3,1.0.0,Verified User
Highly recommend. The navigation is amazing.,5,1.0.0,Verified User
Fix the loading speed! It runs disappointing right now.,1,1.0.0,Verified User
Highly recommend. The payment gateway is amazing.,4,1.0.0,Verified User
I absolutely love the syncing. Solid!,4,1.0.0,Verified User
Fix the dark mode! It acts slow right now.,2,1.0.0,Verified User
Brilliant experience overall. Checkout process is great.,5,1.0.0,Verified User
I absolutely love the filters. Fantastic!,5,1.0.0,Verified User
Average experience. Customer support could be better.,3,1.0.0,Verified User
Five stars for the checkout process. It operates perfectly.,4,1.0.0,Verified User
Three stars. Loading speed needs work but is okay.,3,1.0.0,Verified User
I absolutely love the search function. Great!,5,1.0.0,Verified User
Good app! The update process operates really well.,4,1.0.0,Verified User
Awesome app! The loading speed acts honestly well.,5,1.0.0,Verified User
Awesome experience overall. Notifications is great.,5,1.0.0,Verified User
Highly recommend. The search function is good.,5,1.0.0,Verified User
Five stars for the dark mode. It operates perfectly.,4,1.0.0,Verified User
Awful app. The design runs absolutely poorly.,1,1.0.0,Verified User
It's passable. The payment gateway feels okay.,3,1.0.0,Verified User
Nice experience overall. Navigation is great.,5,1.0.0,Verified User
I absolutely love the loading speed. Superb!,5,1.0.0,Verified User
Disappointing experience. Profile page crashes all the time.,2,1.0.0,Verified User
Highly recommend. The notifications is great.,5,1.0.0,Verified User
Average experience. Search function could be better.,3,1.0.0,Verified User
Highly recommend. The notifications is good.,4,1.0.0,Verified User
Five stars for the onboarding. It looks perfectly.,4,1.0.0,Verified User
I hate the payment gateway. It is absolutely terrible.,1,1.0.0,Verified User
Highly recommend. The payment gateway is perfect.,5,1.0.0,Verified User
Excellent experience overall. Navigation is great.,5,1.0.0,Verified User
Five stars for the navigation. It works perfectly.,5,1.0.0,Verified User
Terrible experience. Dashboard crashes all the time.,1,1.0.0,Verified User
One star because the update process is clunky.,2,1.0.0,Verified User
Annoying app. The onboarding runs absolutely poorly.,1,1.0.0,Verified User
One star because the update process is bad.,2,1.0.0,Verified User
Highly recommend. The update process is solid.,5,1.0.0,Verified User
One star because the filters is useless.,1,1.0.0,Verified User
I absolutely love the search function. Outstanding!,4,1.0.0,Verified User
Five stars for the dashboard. It operates perfectly.,4,1.0.0,Verified User
Highly recommend. The login screen is great.,4,1.0.0,Verified User
I absolutely love the UI. Solid!,4,1.0.0,Verified User
Disappointing app. The syncing runs honestly poorly.,1,1.0.0,Verified User
Brilliant experience overall. Syncing is great.,4,1.0.0,Verified User
Solid app! The dark mode acts honestly well.,4,1.0.0,Verified User
Poor experience. Design crashes all the time.,1,1.0.0,Verified User
Highly recommend. The customer support is perfect.,4,1.0.0,Verified User
Fix the settings! It feels frustrating right now.,1,1.0.0,Verified User
Incredible app! The dashboard acts honestly well.,5,1.0.0,Verified User
Five stars for the filters. It runs perfectly.,4,1.0.0,Verified User
I hate the loading speed. It is totally slow.,2,1.0.0,Verified User
I absolutely love the navigation. Solid!,4,1.0.0,Verified User
Highly recommend. The search function is outstanding.,4,1.0.0,Verified User
I absolutely love the notifications. Brilliant!,4,1.0.0,Verified User
Five stars for the settings. It feels perfectly.,5,1.0.0,Verified User
Fix the analytics! It operates terrible right now.,1,1.0.0,Verified User
I absolutely love the profile page. Good!,5,1.0.0,Verified User
Five stars for the payment gateway. It works perfectly.,4,1.0.0,Verified User
Three stars. Login screen needs work but is standard.,3,1.0.0,Verified User
Three stars. Checkout process needs work but is average.,3,1.0.0,Verified User
Awesome app! The notifications runs really well.,4,1.0.0,Verified User
Five stars for the search function. It performs perfectly.,4,1.0.0,Verified User
Awesome app! The filters seems incredibly well.,5,1.0.0,Verified User
Five stars for the analytics. It runs perfectly.,4,1.0.0,Verified User
Three stars. Payment gateway needs work but is decent.,3,1.0.0,Verified User
Frustrating app. The syncing operates very poorly.,1,1.0.0,Verified User
Superb app! The checkout process seems quite well.,4,1.0.0,Verified User
Fix the notifications! It runs slow right now.,2,1.0.0,Verified User
Highly recommend. The payment gateway is awesome.,4,1.0.0,Verified User
Bad experience. Payment gateway crashes all the time.,1,1.0.0,Verified User
Highly recommend. The loading speed is brilliant.,4,1.0.0,Verified User
Average experience. Loading speed could be better.,3,1.0.0,Verified User
I absolutely love the onboarding. Amazing!,5,1.0.0,Verified User
Slow app. The analytics works honestly poorly.,1,1.0.0,Verified User
Fantastic experience overall. Ui is great.,5,1.0.0,Verified User
Solid experience overall. Navigation is great.,4,1.0.0,Verified User
Slow app. The analytics works extremely poorly.,1,1.0.0,Verified User
Three stars. Checkout process needs work but is okay.,3,1.0.0,Verified User
Annoying experience. Profile page crashes all the time.,2,1.0.0,Verified User
Solid experience overall. Design is great.,5,1.0.0,Verified User
Trash experience. Filters crashes all the time.,1,1.0.0,Verified User
Nice experience overall. Dark mode is great.,5,1.0.0,Verified User
One star because the search function is poor.,1,1.0.0,Verified User
Five stars for the settings. It looks perfectly.,4,1.0.0,Verified User
Brilliant app! The dashboard feels totally well.,5,1.0.0,Verified User
Highly recommend. The onboarding is perfect.,5,1.0.0,Verified User
Useless experience. Loading speed crashes all the time.,2,1.0.0,Verified User
Highly recommend. The checkout process is perfect.,5,1.0.0,Verified User
Useless experience. Filters crashes all the time.,1,1.0.0,Verified User
